SeanadElectionCountPanelCandidateFirstName,SeanadElectionCountPanelCandidateLastName,SeanadElectionCountPanelCandidateNote,CandidateName,SeanadElectionCountDelegateVotesTransferNo,Votes,SeanadElectionCountNo,SeanadElectionCountPanelQuota,SeanadElectionCountPanelCandidateStatusID,SeanadElectionPanelNameENG,SeanadElectionSubPanelNameENG,SeanadElectionCountOutcomeTypeNameENG,IsDistributionOfSurplusCompleted,SeanadElectionCountPanelCandidateStatusNameENG,SeanadElectionCountPanelCandidateElectedPositionNo,SeanadElectionCountPanelCandidatePositionNo,SeanadElectionCountPanelMasterID,CountResultLine,SeanadElectionCountPanelAreaNameENG,ElectionPanelNameAndArea
Catherine,Ardagh,,"Ardagh, Catherine",0,43000,1,112401,3,Industrial and Commercial Panel,Oireachtas,Distribution Of Surplus,,Continuing,,8,27,,Live,"Industrial and Commercial Panel, Live, 2024-09-10"
Catherine,Ardagh,,"Ardagh, Catherine",0,43000,2,112401,3,Industrial and Commercial Panel,Oireachtas,Exclusion,,Continuing,,8,27,,Live,"Industrial and Commercial Panel, Live, 2024-09-10"
Catherine,Ardagh,,"Ardagh, Catherine",0,43000,3,112401,3,Industrial and Commercial Panel,Oireachtas,Exclusion,,Continuing,,8,27,,Live,"Industrial and Commercial Panel, Live, 2024-09-10"
Catherine,Ardagh,,"Ardagh, Catherine",0,43000,4,112401,3,Industrial and Commercial Panel,Oireachtas,Exclusion,,Continuing,,8,27,,Live,"Industrial and Commercial Panel, Live, 2024-09-10"
Catherine,Ardagh,,"Ardagh, Catherine",2000,45000,5,112401,3,Industrial and Commercial Panel,Oireachtas,Exclusion,,Continuing,,8,27,,Live,"Industrial and Commercial Panel, Live, 2024-09-10"
Catherine,Ardagh,,"Ardagh, Catherine",0,45000,6,112401,3,Industrial and Commercial Panel,Oireachtas,Exclusion,,Continuing,,8,27,,Live,"Industrial and Commercial Panel, Live, 2024-09-10"
Catherine,Ardagh,,"Ardagh, Catherine",6000,51000,7,112401,3,Industrial and Commercial Panel,Oireachtas,Exclusion,,Continuing,,8,27,,Live,"Industrial and Commercial Panel, Live, 2024-09-10"
James,Bannon,,"Bannon, James",0,24000,1,112401,3,Industrial and Commercial Panel,Oireachtas,Distribution Of Surplus,,Continuing,,21,27,,Live,"Industrial and Commercial Panel, Live, 2024-09-10"
James,Bannon,,"Bannon, James",0,24000,2,112401,3,Industrial and Commercial Panel,Oireachtas,Exclusion,,Continuing,,21,27,,Live,"Industrial and Commercial Panel, Live, 2024-09-10"
James,Bannon,,"Bannon, James",0,24000,3,112401,3,Industrial and Commercial Panel,Oireachtas,Exclusion,,Continuing,,21,27,,Live,"Industrial and Commercial Panel, Live, 2024-09-10"
James,Bannon,,"Bannon, James",0,24000,4,112401,3,Industrial and Commercial Panel,Oireachtas,Exclusion,,Continuing,,21,27,,Live,"Industrial and Commercial Panel, Live, 2024-09-10"
James,Bannon,,"Bannon, James",0,24000,5,112401,3,Industrial and Commercial Panel,Oireachtas,Exclusion,,Continuing,,21,27,,Live,"Industrial and Commercial Panel, Live, 2024-09-10"
James,Bannon,,"Bannon, James",2000,26000,6,112401,3,Industrial and Commercial Panel,Oireachtas,Exclusion,,Continuing,,21,27,,Live,"Industrial and Commercial Panel, Live, 2024-09-10"
James,Bannon,,"Bannon, James",0,26000,7,112401,3,Industrial and Commercial Panel,Oireachtas,Exclusion,,Continuing,,21,27,,Live,"Industrial and Commercial Panel, Live, 2024-09-10"
Michael,Bell,,"Bell, Michael",0,2000,1,70751,3,Labour Panel,Nominating Bodies,Distribution Of Surplus,,Continuing,,20,15,,Live,"Labour Panel, Live, 2024-09-01"
Michael,Bell,,"Bell, Michael",0,2000,1,70751,3,Labour Panel,Nominating Bodies,Distribution Of Surplus,,Continuing,,20,20,,Live,"Labour Panel, Live, 2024-09-03"
